X82,nd,bra,pre,par,ama,ind,total,nao_bra_prop,nao_bra_prop_declarados
35003670,455,536,39,170,9,2,1211,55.73905862923204,29.100529100529105
35003682,92,595,59,303,11,0,1060,43.867924528301884,38.53305785123967
35003694,301,686,71,241,27,0,1326,48.265460030165904,33.073170731707314
35003700,83,193,10,47,3,0,336,42.55952380952381,23.715415019762844
35003712,462,549,32,212,4,2,1261,56.463124504361616,31.289111389236545
35003724,219,334,24,160,3,0,740,54.864864864864856,35.89251439539347
35003736,310,118,13,85,0,2,528,77.65151515151516,45.87155963302752
35003748,97,125,10,66,4,1,303,58.745874587458744,39.320388349514566
35003759,449,579,34,248,2,0,1312,55.868902439024396,32.908458864426414
35003773,41,144,17,75,2,0,279,48.38709677419355,39.49579831932773
35003797,259,540,38,136,16,1,990,45.45454545454546,26.128590971272224
35003803,128,100,8,54,1,0,291,65.63573883161511,38.65030674846626
35003815,199,149,8,47,7,0,410,63.65853658536585,29.383886255924175
35003827,630,621,48,212,13,2,1526,59.305373525557,30.691964285714292
35003839,86,142,21,88,1,0,338,57.98816568047338,43.65079365079365
35003840,152,210,19,105,7,1,494,57.48987854251012,38.59649122807017
35003852,473,513,56,227,4,4,1277,59.82772122161315,36.19402985074627
35003864,279,127,18,121,0,0,545,76.69724770642202,52.25563909774436
35003876,131,104,10,56,2,0,303,65.67656765676568,39.53488372093024
35003888,84,258,25,151,2,4,524,50.76335877862596,41.36363636363637
35003897,92,101,14,89,2,0,298,66.10738255033557,50.970873786407765
35003918,111,232,10,141,1,0,495,53.13131313131313,39.583333333333336
35003924,109,424,25,178,3,2,741,42.78002699055331,32.91139240506329
35003931,150,287,24,128,1,2,592,51.52027027027026,35.06787330316742
35003943,345,115,15,82,0,0,557,79.35368043087972,45.75471698113207
35003955,366,364,33,161,4,0,928,60.77586206896552,35.231316725978644
35003967,207,274,9,99,3,0,592,53.71621621621622,28.83116883116883
35003980,74,156,12,72,2,0,316,50.63291139240506,35.537190082644635
35003992,376,106,10,79,0,0,571,81.43607705779334,45.64102564102564
35004001,3,113,0,0,1,0,117,3.4188034188034178,0.8771929824561431
35004002,42,32,1,8,0,1,84,61.904761904761905,23.809523809523814
35004005,283,343,34,348,5,1,1014,66.17357001972385,53.07797537619698
35004015,23,77,5,112,0,0,217,64.51612903225806,60.30927835051547
35004019,82,46,6,18,0,0,152,69.73684210526316,34.285714285714285
35004029,137,104,13,93,1,0,348,70.11494252873563,50.71090047393365
35004030,231,362,48,286,2,2,931,61.117078410311485,48.285714285714285
35004031,111,57,5,78,0,0,251,77.29083665338645,59.285714285714285
35004042,408,262,42,173,1,0,886,70.42889390519187,45.188284518828446
35004049,279,174,31,267,2,0,753,76.89243027888446,63.29113924050633
35004052,34,45,9,111,0,0,199,77.38693467336684,72.72727272727273
35004055,34,30,1,15,0,0,80,62.5,34.78260869565217
35004063,16,31,0,1,0,0,48,35.416666666666664,3.125
35004064,60,106,5,67,1,0,239,55.64853556485356,40.782122905027926
35004066,229,319,24,264,2,2,840,62.023809523809526,47.790507364975454
35004068,112,26,3,21,0,0,162,83.9506172839506,48
35004071,8,31,2,32,6,0,79,60.75949367088608,56.33802816901409
35004072,14,49,7,63,2,0,135,63.70370370370371,59.50413223140496
35004077,113,70,12,80,0,0,275,74.54545454545455,56.790123456790134
35004078,100,200,22,109,4,0,435,54.02298850574713,40.29850746268657
35004085,134,72,6,69,0,0,281,74.37722419928825,51.02040816326531
35004091,228,233,23,171,2,1,658,64.58966565349544,45.81395348837209
35004105,123,46,5,39,1,0,214,78.50467289719626,49.45054945054945
35004107,6,39,4,2,0,0,51,23.529411764705888,13.33333333333333
35004112,159,147,21,136,2,0,465,68.38709677419355,51.96078431372548
35004114,3,84,0,0,1,0,88,4.545454545454541,1.17647058823529
35004116,285,96,10,128,1,1,521,81.57389635316699,59.32203389830508
35004119,69,17,4,73,0,0,163,89.57055214723927,81.91489361702128
35004121,156,565,252,492,14,4,1483,61.90155091031693,57.42275810097966
